,NAME,B02001_001E,B02001_002E,state,county,tract,white_ratio,quantile_category,tractid
790,"Census Tract 3201.03, Middlesex County, Massachusetts",3022,2398,25,017,320103,0.7935142289874255,2,25017320103
791,"Census Tract 3201.04, Middlesex County, Massachusetts",8097,7523,25,017,320104,0.9291095467457083,3,25017320104
792,"Census Tract 3241.01, Middlesex County, Massachusetts",5129,4678,25,017,324101,0.9120686293624488,3,25017324101
793,"Census Tract 3241.02, Middlesex County, Massachusetts",4625,4062,25,017,324102,0.8782702702702703,3,25017324102
794,"Census Tract 3261.01, Middlesex County, Massachusetts",4383,3998,25,017,326101,0.9121606205795117,3,25017326101
795,"Census Tract 3261.02, Middlesex County, Massachusetts",6899,6550,25,017,326102,0.9494129583997681,4,25017326102
796,"Census Tract 3353.01, Middlesex County, Massachusetts",4326,3901,25,017,335301,0.9017568192325474,3,25017335301
797,"Census Tract 3353.02, Middlesex County, Massachusetts",5002,4639,25,017,335302,0.9274290283886445,3,25017335302
798,"Census Tract 3398.01, Middlesex County, Massachusetts",4938,3215,25,017,339801,0.6510733090319968,1,25017339801
799,"Census Tract 3398.02, Middlesex County, Massachusetts",4665,3428,25,017,339802,0.734833869239014,2,25017339802
800,"Census Tract 3411.01, Middlesex County, Massachusetts",4031,1962,25,017,341101,0.4867278590920367,1,25017341101
801,"Census Tract 3421.01, Middlesex County, Massachusetts",4771,2885,25,017,342101,0.604695032487948,1,25017342101
802,"Census Tract 3411.02, Middlesex County, Massachusetts",4203,2348,25,017,341102,0.5586485843445158,1,25017341102
803,"Census Tract 3419.01, Middlesex County, Massachusetts",1426,1113,25,017,341901,0.7805049088359046,2,25017341901
804,"Census Tract 3419.02, Middlesex County, Massachusetts",8124,4863,25,017,341902,0.5985967503692762,1,25017341902
805,"Census Tract 3421.02, Middlesex County, Massachusetts",3646,2497,25,017,342102,0.6848601206801975,1,25017342102
806,"Census Tract 3422.01, Middlesex County, Massachusetts",4876,3391,25,017,342201,0.6954470877768663,1,25017342201
807,"Census Tract 3422.02, Middlesex County, Massachusetts",4100,2934,25,017,342202,0.715609756097561,2,25017342202
808,"Census Tract 3501.03, Middlesex County, Massachusetts",1388,1221,25,017,350103,0.8796829971181557,3,25017350103
809,"Census Tract 3501.04, Middlesex County, Massachusetts",7610,3860,25,017,350104,0.507227332457293,1,25017350104
810,"Census Tract 3512.03, Middlesex County, Massachusetts",4709,3639,25,017,351203,0.7727755362072627,2,25017351203
811,"Census Tract 3512.04, Middlesex County, Massachusetts",4539,3474,25,017,351204,0.7653668208856577,2,25017351204
812,"Census Tract 7611, Worcester County, Massachusetts",5199,5030,25,027,761100,0.9674937487978458,4,25027761100
813,"Census Tract 7331.02, Worcester County, Massachusetts",2351,1638,25,027,733102,0.6967247979583157,1,25027733102
814,"Census Tract 7371, Worcester County, Massachusetts",4827,4715,25,027,737100,0.9767971825150197,4,25027737100
815,"Census Tract 7372, Worcester County, Massachusetts",1962,1851,25,027,737200,0.9434250764525994,4,25027737200
816,"Census Tract 7322.03, Worcester County, Massachusetts",3957,2057,25,027,732203,0.5198382613090725,1,25027732203
817,"Census Tract 7401.02, Worcester County, Massachusetts",5985,5417,25,027,740102,0.9050960735171262,3,25027740102
818,"Census Tract 7491, Worcester County, Massachusetts",7738,7252,25,027,749100,0.9371930731455156,4,25027749100
819,"Census Tract 7532, Worcester County, Massachusetts",6215,6096,25,027,753200,0.9808527755430411,4,25027753200
820,"Census Tract 7552, Worcester County, Massachusetts",8231,7713,25,027,755200,0.9370671850321953,4,25027755200
821,"Census Tract 7572, Worcester County, Massachusetts",2558,1564,25,027,757200,0.6114151681000782,1,25027757200
822,"Census Tract 7031, Worcester County, Massachusetts",4257,4178,25,027,703100,0.9814423302795395,4,25027703100
823,"Census Tract 7032, Worcester County, Massachusetts",3834,3370,25,027,703200,0.8789775691184142,3,25027703200
824,"Census Tract 7051, Worcester County, Massachusetts",8117,7881,25,027,705100,0.970925218676851,4,25027705100
825,"Census Tract 7074, Worcester County, Massachusetts",4698,4411,25,027,707400,0.9389101745423585,4,25027707400
826,"Census Tract 7106, Worcester County, Massachusetts",6838,4969,25,027,710600,0.7266744662181924,2,25027710600
827,"Census Tract 7151, Worcester County, Massachusetts",5167,4823,25,027,715100,0.9334236500870912,4,25027715100
828,"Census Tract 7181, Worcester County, Massachusetts",4524,4212,25,027,718100,0.9310344827586207,4,25027718100
829,"Census Tract 7317, Worcester County, Massachusetts",2755,1975,25,027,731700,0.7168784029038112,2,25027731700
830,"Census Tract 7322.01, Worcester County, Massachusetts",2746,1923,25,027,732201,0.7002913328477786,2,25027732201
831,"Census Tract 7401.01, Worcester County, Massachusetts",5612,4757,25,027,740101,0.847647897362794,3,25027740101
832,"Census Tract 1402.01, Suffolk County, Massachusetts",2347,1004,25,025,140201,0.4277801448657861,1,25025140201
833,"Census Tract 4.02, Suffolk County, Massachusetts",3431,2575,25,025,000402,0.750510055377441,2,25025000402
834,"Census Tract 6.01, Suffolk County, Massachusetts",3800,2641,25,025,000601,0.695,1,25025000601
835,"Census Tract 302, Suffolk County, Massachusetts",1697,1599,25,025,030200,0.9422510312315852,4,25025030200
836,"Census Tract 305, Suffolk County, Massachusetts",2572,2275,25,025,030500,0.8845256609642301,3,25025030500
837,"Census Tract 402, Suffolk County, Massachusetts",1924,1140,25,025,040200,0.5925155925155925,1,25025040200
838,"Census Tract 502, Suffolk County, Massachusetts",6125,3416,25,025,050200,0.5577142857142857,1,25025050200
839,"Census Tract 503, Suffolk County, Massachusetts",2288,1338,25,025,050300,0.5847902097902098,1,25025050300
840,"Census Tract 506, Suffolk County, Massachusetts",2409,1544,25,025,050600,0.6409298464092985,1,25025050600
841,"Census Tract 703, Suffolk County, Massachusetts",4453,3521,25,025,070300,0.7907028969234224,2,25025070300
842,"Census Tract 705, Suffolk County, Massachusetts",5905,3486,25,025,070500,0.5903471634208298,1,25025070500
843,"Census Tract 708, Suffolk County, Massachusetts",3452,2501,25,025,070800,0.7245075318655851,2,25025070800
844,"Census Tract 809, Suffolk County, Massachusetts",3786,2611,25,025,080900,0.6896460644479662,1,25025080900
845,"Census Tract 814, Suffolk County, Massachusetts",2920,1056,25,025,081400,0.36164383561643837,1,25025081400
846,"Census Tract 818, Suffolk County, Massachusetts",3535,176,25,025,081800,0.04978783592644979,1,25025081800
847,"Census Tract 903, Suffolk County, Massachusetts",3389,170,25,025,090300,0.05016228976099144,1,25025090300
848,"Census Tract 923, Suffolk County, Massachusetts",3519,300,25,025,092300,0.08525149190110827,1,25025092300
849,"Census Tract 1604, Suffolk County, Massachusetts",3054,1537,25,025,160400,0.5032743942370661,1,25025160400
850,"Census Tract 1602, Suffolk County, Massachusetts",4357,1399,25,025,160200,0.32109249483589625,1,25025160200
851,"Census Tract 1704, Suffolk County, Massachusetts",6484,4581,25,025,170400,0.7065083281924738,2,25025170400
852,"Census Tract 3103, Middlesex County, Massachusetts",6693,3872,25,017,310300,0.5785148662782011,1,25017310300
853,"Census Tract 3106.01, Middlesex County, Massachusetts",6409,4019,25,017,310601,0.6270869090341707,1,25017310601
854,"Census Tract 3121, Middlesex County, Massachusetts",2935,1942,25,017,312100,0.6616695059625213,1,25017312100
855,"Census Tract 2108, Essex County, Massachusetts",5084,4137,25,009,210800,0.8137293469708891,2,25009210800
856,"Census Tract 2112, Essex County, Massachusetts",6126,5890,25,009,211200,0.9614756774404178,4,25009211200
857,"Census Tract 2121, Essex County, Massachusetts",9656,8738,25,009,212100,0.9049295774647887,3,25009212100
858,"Census Tract 2211, Essex County, Massachusetts",4374,4263,25,009,221100,0.9746227709190672,4,25009221100
859,"Census Tract 2213, Essex County, Massachusetts",4557,4523,25,009,221300,0.9925389510642967,4,25009221300
860,"Census Tract 2513, Essex County, Massachusetts",3306,1677,25,009,251300,0.5072595281306715,1,25009251300
861,"Census Tract 2516, Essex County, Massachusetts",6175,2975,25,009,251600,0.4817813765182186,1,25009251600
862,"Census Tract 2531, Essex County, Massachusetts",5313,4712,25,009,253100,0.8868812347073216,3,25009253100
863,"Census Tract 2532.03, Essex County, Massachusetts",4389,3992,25,009,253203,0.9095465937571201,3,25009253203
864,"Census Tract 2604.02, Essex County, Massachusetts",6436,5888,25,009,260402,0.9148539465506526,3,25009260402
865,"Census Tract 2605, Essex County, Massachusetts",3751,3537,25,009,260500,0.9429485470541189,4,25009260500
866,"Census Tract 2607, Essex County, Massachusetts",4858,3996,25,009,260700,0.8225607245780157,2,25009260700
867,"Census Tract 2651.01, Essex County, Massachusetts",3756,3624,25,009,265101,0.9648562300319489,4,25009265101
868,"Census Tract 2682, Essex County, Massachusetts",6210,5559,25,009,268200,0.8951690821256039,3,25009268200
869,"Census Tract 2041.02, Essex County, Massachusetts",4983,3897,25,009,204102,0.7820590006020469,2,25009204102
870,"Census Tract 2059, Essex County, Massachusetts",4478,1955,25,009,205900,0.43657882983474766,1,25009205900
871,"Census Tract 2068, Essex County, Massachusetts",3728,1031,25,009,206800,0.27655579399141633,1,25009206800
872,"Census Tract 2103, Essex County, Massachusetts",8713,7948,25,009,210300,0.9122001606794445,3,25009210300
873,"Census Tract 2176, Essex County, Massachusetts",8961,8632,25,009,217600,0.9632853476174534,4,25009217600
874,"Census Tract 2233, Essex County, Massachusetts",5714,5610,25,009,223300,0.9817990899544977,4,25009223300
875,"Census Tract 2503, Essex County, Massachusetts",2191,1052,25,009,250300,0.48014605203103605,1,25009250300
876,"Census Tract 2524, Essex County, Massachusetts",4467,2271,25,009,252400,0.5083948959032908,1,25009252400
877,"Census Tract 2514, Essex County, Massachusetts",5211,2860,25,009,251400,0.5488389944348494,1,25009251400
878,"Census Tract 2521.02, Essex County, Massachusetts",4129,3716,25,009,252102,0.8999757810607896,3,25009252102
879,"Census Tract 6522, Bristol County, Massachusetts",2872,2536,25,005,652200,0.883008356545961,3,25005652200
880,"Census Tract 6527, Bristol County, Massachusetts",3420,1945,25,005,652700,0.5687134502923976,1,25005652700
881,"Census Tract 6533.01, Bristol County, Massachusetts",5003,4606,25,005,653301,0.9206476114331401,3,25005653301
